title,videoIDS,publishedDate,likes,views,comment
BEST Strategy for Short Term Investing | FIXED 11% RATE OF RETURN! | Ankur Warikoo Hindi,458ScyLBMn0,2022-03-19T16:51:30Z,18815,652834,1442
WHAT is an EMERGENCY FUND and WHERE to KEEP IT? | Ankur Warikoo #Shorts,lJkughEU3AQ,2022-03-19T06:30:14Z,13720,192968,255
3 Ways YOU can be SMART about MONEY! | Ankur Warikoo #shorts,E6Fw-5LMGVo,2022-03-18T07:55:01Z,12165,138827,172
Parents - 11 HARSH TRUTHS. | Ankur Warikoo Hindi,Eia-2dnmD7g,2022-03-17T16:00:11Z,14040,321885,1435
THIS SMALL THING CAN CHANGE YOUR LIFE! | Ankur Warikoo #shorts,nhw7PZbv1nA,2022-03-17T06:30:16Z,13889,111413,175
7 Ways to Get Salary Increment - GUARANTEED! | Ankur Warikoo Hindi,b6Ll-VYhQX0,2022-03-15T16:00:30Z,9515,212668,711
3 Ways I LOST MONEY in MY 20s! | Ankur Warikoo #Shorts,fm5uj25yVvk,2022-03-15T06:30:05Z,17286,215461,159
I wish SOMEONE TOLD THIS to me in my 20s! | Ankur Warikoo #Shorts,cNoUEanBZfE,2022-03-14T06:30:04Z,27873,459962,216
Get STARTED with Stock Market Investing! | Ankur Warikoo #Shorts,LILp_Lr7ENc,2022-03-13T17:30:01Z,15152,193062,120
7 ASSETS that WILL make you RICH! | Personal Finance for Beginners | Ankur Warikoo Hindi,zL3CniOFMvU,2022-03-12T16:00:37Z,24579,561694,2077
Golden Rule of MANAGING YOUR MONEY! | Ankur Warikoo #Shorts,4TBT2_3GN2M,2022-03-12T06:30:02Z,6614,72105,92
The BIGGEST GOLDEN RULE of INVESTING! | Ankur Warikoo #Shorts,5be1I8g_XtM,2022-03-11T15:30:02Z,9818,151216,91
Rich Dad Poor Dad Book Review | Books on Money! | Ankur Warikoo Hindi,zaFAsFP-u2U,2022-03-10T16:00:29Z,21688,471063,1500
3 reasons you should NOT BUY A HOUSE! | Ankur Warikoo #Shorts,iXI7GBhgUQY,2022-03-10T06:30:07Z,15008,265818,276
The BIGGEST MONEY LESSON in LIFE! | Ankur Warikoo #Shorts,ZcBLzLZClcs,2022-03-09T06:30:05Z,10085,145261,85
A CA to 3.5M subscribers on YouTube: @CA Rachana Phadke Ranade's #CreatingForIndia journey,3XBssbaxqMU,2022-03-08T16:00:02Z,8935,218843,811
3 ways YOU ARE READING BOOKS WRONG! | Ankur Warikoo,Ui9OLJSOet8,2022-03-08T06:30:04Z,32524,454500,370
2 types of people in this world! | Ankur Warikoo #Shorts,u3V6NRal0Tg,2022-03-07T15:30:16Z,9210,135060,125
3 Books you CAN'T MISS in YOUR 20s! | Ankur Warikoo #Shorts,uZYLytAQSVc,2022-03-06T06:30:10Z,9468,88494,118
Retire with 4 CRORES! | Financial Planning for Beginners | Ankur Warikoo Hindi,4BXPxuwAp-Q,2022-03-05T16:00:01Z,12861,283402,1190
3 TRUTHS about Investing that NO ONE TALKS ABOUT! | Ankur Warikoo #Shorts,-nGG2NECuVI,2022-03-04T06:30:00Z,14680,213691,207
Hard hitting responses to your questions | Ankur Warikoo Hindi,u71ErGPxBrs,2022-03-03T17:12:14Z,4700,95042,463
